level,time,normalized_nav,drawdown
B5,2023-09-10T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-10T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-10T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-10T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-10T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-10T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-11T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-11T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-11T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-11T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-11T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-11T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-12T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-12T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-12T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-12T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-12T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-12T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-13T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-13T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-13T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-13T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-13T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-13T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-14T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-14T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-14T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-14T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-14T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-14T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-15T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-15T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-15T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-15T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-15T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-15T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-16T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-16T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-16T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-16T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-16T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-16T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-17T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-17T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-17T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-17T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-17T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-17T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-18T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-18T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-18T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-18T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-18T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-18T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-19T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-19T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-19T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-19T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-19T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-19T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-20T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-20T04:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-20T08:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-20T12:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-20T16:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-20T20:00:00.000000+0000,0.923307973864984,-0.17673248693161525
B5,2023-09-21T00:00:00.000000+0000,0.923307973864984,-0.17673248693161525
